Satelit,Latitude,Longitude,Kedalaman,Temperature

12,-7.823898,110.120056,33.5,31.0

11,-7.823896,110.120048,33.7,30.7

11,-7.823895,110.120033,33.6,30.8

10,-7.823894,110.120025,33.5,30.9

11,-7.823894,110.120018,33.7,30.9

11,-7.823894,110.12001,33.5,30.9

10,-7.823892,110.119987,33.6,30.9

10,-7.823892,110.119987,33.5,30.9

11,-7.82389,110.119979,33.6,30.9

11,-7.82389,110.119972,33.6,31.0

12,-7.823888,110.119964,33.7,30.9

12,-7.823887,110.119949,33.7,30.9

11,-7.823885,110.119941,33.8,30.9

12,-7.823882,110.119934,33.8,30.8

11,-7.823878,110.119926,33.9,30.8

11,-7.823875,110.119918,33.7,30.8

12,-7.823872,110.119911,34.2,30.8

12,-7.823868,110.119903,33.6,30.9

11,-7.82386,110.11988,33.5,30.9

11,-7.823855,110.119873,33.5,31.0

11,-7.823855,110.119873,33.5,30.8

11,-7.823845,110.119857,33.4,30.8

11,-7.823842,110.11985,33.5,31.0

11,-7.823835,110.119842,33.4,30.8

11,-7.82383,110.119834,33.4,30.9

11,-7.82383,110.119834,33.4,30.9

12,-7.82382,110.119819,33.5,31.0

12,-7.82382,110.119819,33.7,30.9

11,-7.823813,110.119804,33.3,30.8

11,-7.82381,110.119796,33.7,30.8

11,-7.823805,110.119796,33.1,30.9

12,-7.8238,110.119789,33.2,30.9

12,-7.823795,110.119781,33.4,30.9

12,-7.823788,110.119773,34.1,30.8

12,-7.823783,110.119766,33.1,30.9

11,-7.823777,110.119758,33.3,30.9

11,-7.82377,110.11975,33.9,31.0

11,-7.823763,110.11975,33.6,30.9

10,-7.823757,110.119743,33.1,30.8

10,-7.823751,110.119735,32.7,30.9

11,-7.823743,110.119728,32.7,31.0

11,-7.823737,110.119728,32.8,30.9

11,-7.82373,110.11972,32.9,30.9

11,-7.823722,110.119712,32.8,31.0

11,-7.823713,110.119712,32.8,30.9

11,-7.823707,110.119705,32.8,31.0

11,-7.8237,110.119697,32.8,31.0

11,-7.823692,110.119689,32.8,31.0

11,-7.823685,110.119689,33.0,31.0

11,-7.823677,110.119682,33.0,30.9

12,-7.823668,110.119682,33.0,30.9

12,-7.823662,110.119674,33.1,30.9

12,-7.823653,110.119667,33.1,31.0

12,-7.823645,110.119667,31.1,30.9

12,-7.823637,110.119659,31.1,31.0

12,-7.823628,110.119659,31.0,31.0

12,-7.82362,110.119651,31.1,30.9

12,-7.823612,110.119651,31.0,31.0

12,-7.823603,110.119644,30.9,30.8

12,-7.823595,110.119644,30.8,31.0

12,-7.823586,110.119636,30.8,31.1

12,-7.82358,110.119636,30.8,30.9

11,-7.823572,110.119628,30.7,30.9

12,-7.823565,110.119628,30.7,30.9

12,-7.823557,110.119628,31.0,31.1

11,-7.82355,110.119628,30.6,30.9

11,-7.823542,110.119628,30.5,30.9

11,-7.823535,110.119628,30.5,31.1

11,-7.823527,110.119628,30.7,31.1

11,-7.823517,110.119628,30.5,31.0

11,-7.82351,110.119628,30.3,31.0

11,-7.823502,110.119621,30.6,31.1

12,-7.823493,110.119621,30.3,31.1

12,-7.823485,110.119621,30.4,31.0

12,-7.823477,110.119621,30.3,31.0

12,-7.823468,110.119613,30.3,31.0

11,-7.82346,110.119613,29.9,30.9

12,-7.823451,110.119606,29.8,30.9

11,-7.823443,110.119606,29.8,30.9

11,-7.823433,110.119598,30.0,31.0

12,-7.823427,110.119598,29.9,31.0

12,-7.82342,110.119598,30.3,30.9

12,-7.823413,110.11959,30.3,31.1

12,-7.823407,110.11959,30.3,31.1

12,-7.823399,110.11959,30.6,31.0

12,-7.823388,110.119583,30.5,30.9

12,-7.82338,110.119583,30.2,31.0

12,-7.823372,110.119583,30.2,31.0

12,-7.823361,110.119583,30.1,31.0

12,-7.823352,110.119583,30.1,31.0

12,-7.823343,110.119575,30.7,30.9

12,-7.823335,110.119575,30.8,30.9

